split,repeticao,fold,mAP50,mAP50-95,Precision,Recall
rep1_fold1,rep1,fold1,0.9929,0.9111,0.9917,0.9908
rep1_fold2,rep1,fold2,0.995,0.9284,0.9973,0.9954
rep1_fold3,rep1,fold3,0.9944,0.9404,0.9943,0.9938
rep1_fold4,rep1,fold4,0.995,0.9219,0.998,0.9996
rep1_fold5,rep1,fold5,0.995,0.9357,0.9975,0.9942
rep2_fold1,rep2,fold1,0.995,0.9289,0.9979,0.9952
rep2_fold2,rep2,fold2,0.9919,0.926,0.9888,0.9817
rep2_fold3,rep2,fold3,0.995,0.9294,0.9983,1.0
rep2_fold4,rep2,fold4,0.9949,0.9285,0.9936,0.9954
rep2_fold5,rep2,fold5,0.995,0.929,0.9933,1.0
rep3_fold1,rep3,fold1,0.9945,0.9319,0.9932,0.995
rep3_fold2,rep3,fold2,0.995,0.9152,0.9989,0.9994
rep3_fold3,rep3,fold3,0.9949,0.9287,0.9935,1.0
rep3_fold4,rep3,fold4,0.9949,0.9289,0.9919,1.0
rep3_fold5,rep3,fold5,0.9935,0.9273,0.9911,0.9862
